FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
SEQR11,MISTO,"60,14","97.485,10","0,67","0,72","1,22 %","3,64 %","6,89 %","13,70 %","1,21 %","1,15 %","1,14 %","12,60 %","0,39 %","1,62 %","7,86 %","150.095.897,59","90,11","0,67","0,80 %","-3,89 %","-3,13 %","2,55 %",4,"10,81",5.613,N/A,N/A,N/A
SHOP11,SHOPPINGS,"59,29","236,00","1,24","6,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"70.563.235,62",N/A,N/A,N/A,N/A,N/A,N/A,1,"33,01",52,N/A,N/A,N/A
SHPH11,SHOPPINGS,"857,00","188.858,67","0,96","5,10","0,60 %","1,72 %","3,20 %","7,02 %","0,57 %","0,53 %","0,59 %","7,02 %","4,29 %","4,92 %","23,78 %","543.279.486,02","892,16","0,96","0,54 %","-0,23 %","0,31 %","5,25 %",1,"29,76",2.451,N/A,N/A,N/A
SHSO11,INDEFINIDO,N/A,N/A,N/A,"0,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"19.415.787,06",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
SIGR11,INDEFINIDO,"96,00","9.919,38","0,94","1,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"39.672.511,13",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,59",59,N/A,N/A,N/A
SNAG11,PAPÉIS,"10,10","1.643.294,38","1,00","0,11","1,09 %","3,15 %","6,66 %","13,48 %","1,05 %","1,11 %","1,12 %","12,30 %","-0,10 %","0,99 %","12,34 %","504.386.774,96","10,09","1,00","1,09 %","-90,04 %","-89,93 %","-89,60 %",0,"5,29",73.275,N/A,N/A,N/A
SNCI11,PAPÉIS,"100,26","667.430,43","1,01","1,00","1,00 %","3,00 %","6,09 %","12,46 %","1,00 %","1,02 %","1,04 %","11,45 %","0,16 %","1,16 %","13,86 %","417.890.172,49","99,50","1,01","1,01 %","2,16 %","3,18 %","13,39 %",0,"9,15",43.581,N/A,N/A,N/A
SNEL11,INDEFINIDO,"128,00","901.092,43","1,29","1,55","1,25 %","1,25 %","1,25 %","1,25 %","1,25 %","1,25 %","1,25 %","1,25 %","0,00 %","0,00 %",N/A,"49.335.953,30",N/A,N/A,N/A,N/A,N/A,N/A,0,"37,00",3.363,N/A,N/A,N/A
SNFF11,FUNDO DE FUNDOS,"86,73","681.917,95","0,96","1,30","1,45 %","2,92 %","5,07 %","9,76 %","0,97 %","0,85 %","0,81 %","8,85 %","2,46 %","3,95 %","11,38 %","255.083.754,68","90,14","0,96","1,44 %","1,84 %","3,31 %","5,04 %",0,"15,10",30.144,N/A,N/A,N/A
SNID11,FUNDO DE DESENVOLVIMENTO,"103,69","287.597,48",N/A,"1,15","1,11 %","3,36 %","6,76 %","11,25 %","1,12 %","1,13 %","0,94 %","12,41 %","1,12 %","2,25 %","13,46 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"4,16",0,N/A,N/A,N/A
SNLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"27,00","56.653,29","0,87","0,35","0,99 %","2,68 %","5,21 %","11,52 %","0,89 %","0,87 %","0,96 %","1,85 %","-12,69 %","-11,83 %","-14,27 %","65.477.185,63",N/A,N/A,N/A,N/A,N/A,N/A,2,"30,94",3.730,N/A,N/A,N/A
SNME11,INDEFINIDO,"10,49","41.509,82","1,04","0,12","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"49.870.095,97",N/A,N/A,N/A,N/A,N/A,N/A,0,"118,44",2,N/A,N/A,N/A
SOLR11,IMÓVEIS COMERCIAIS - OUTROS,"1.128,06","1.058,50","1,14","4,77","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"62.038.527,32",N/A,N/A,N/A,N/A,N/A,N/A,1,"102,03",52,N/A,N/A,N/A
SPMO11,INDEFINIDO,"120,00","166.638,78","0,86","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"252.397.753,42",N/A,N/A,N/A,N/A,N/A,N/A,0,"0,42",10,N/A,N/A,N/A
SPTW11,LAJES CORPORATIVAS,"43,33","154.936,67","0,77","0,65","1,52 %","3,74 %","6,93 %","13,22 %","1,25 %","1,16 %","1,10 %","13,22 %","2,71 %","4,27 %","19,89 %","100.610.179,06","55,96","0,77","0,82 %","0,39 %","1,22 %","16,23 %",1,"12,56",26.113,N/A,N/A,N/A
SPVJ11,SHOPPINGS,N/A,N/A,N/A,"0,68","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"733.111.808,08","116,14",N/A,"0,54 %","-0,09 %","0,46 %","16,73 %",14,N/A,27,N/A,N/A,N/A
SPXS11,INDEFINIDO,"9,38","614.839,95","0,99","0,09","1,01 %","3,17 %","6,89 %","13,57 %","1,06 %","1,15 %","1,13 %","12,90 %","-4,79 %","-3,83 %","11,20 %","195.466.001,15",N/A,N/A,N/A,N/A,N/A,N/A,0,"23,40",7.477,N/A,N/A,N/A
SRVD11,INDEFINIDO,"3,00","233,91","583,00","0,20","2,29 %","3,30 %","3,30 %","3,30 %","1,65 %","1,65 %","1,65 %","3,30 %","-9,79 %","-7,73 %","-7,73 %","-794.300,35","1,19","2,53","16,87 %","-0,11 %","16,74 %","25,64 %",0,"114,60",106,N/A,N/A,N/A
STRX11,FUNDO DE DESENVOLVIMENTO,"168,00","1.512,00","1,02","0,76","0,45 %","0,45 %","0,45 %","0,45 %","0,15 %","0,08 %","0,04 %","0,45 %","0,00 %","0,00 %",N/A,"264.683.464,89","164,04","1,02","0,46 %","10,60 %","11,10 %","24,57 %",3,N/A,58,N/A,N/A,N/A
TCPF11,MISTO,"1,26",N/A,"0,01","1,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"34.980.568,23",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,51,N/A,N/A,N/A
TEPP11,LAJES CORPORATIVAS,"92,82","1.453.285,52","0,98","0,90","0,98 %","2,38 %","4,32 %","8,86 %","0,79 %","0,72 %","0,74 %","8,86 %","-1,00 %","-0,03 %","50,45 %","400.989.058,57","94,98","0,98","0,67 %","-0,77 %","-0,10 %","11,49 %",5,"21,48",23.130,N/A,N/A,N/A
TGAR11,FUNDO DE DESENVOLVIMENTO,"120,71","6.880.854,86","1,08","1,32","1,08 %","3,46 %","6,88 %","13,76 %","1,15 %","1,15 %","1,15 %","13,76 %","0,92 %","2,01 %","14,66 %","1.536.775.352,97","111,49","1,08","1,28 %","-12,75 %","-11,63 %","-1,46 %",8,"12,26",124.930,N/A,N/A,N/A
TJKB11,INDEFINIDO,"262,50","1.487,75","0,98","2,72","0,00 %","0,95 %","0,95 %","1,88 %","0,32 %","0,16 %","0,16 %","1,88 %","0,00 %","0,00 %",N/A,"202.304.888,31",N/A,N/A,N/A,N/A,N/A,N/A,7,"34,48",81,N/A,N/A,N/A
TMPS11,FUNDO DE FUNDOS,"96,45","153.677,10","0,93","1,11","1,17 %","3,14 %","5,30 %","6,55 %","1,05 %","0,88 %","1,09 %","6,55 %","1,33 %","2,52 %","-2,63 %","101.135.989,53",N/A,N/A,N/A,N/A,N/A,N/A,0,"21,33",1.847,N/A,N/A,N/A
TORD11,MISTO,"2,17","144.839,19","0,18","0,05","0,90 %","2,51 %","5,20 %","11,46 %","0,84 %","0,87 %","0,96 %","0,90 %","-24,53 %","-23,85 %","-23,85 %","445.719.466,82","13,99","0,16","0,36 %","8,62 %","9,01 %","12,88 %",1,"40,39",94.035,N/A,N/A,N/A
TRBL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"98,06","705.147,52","1,03","0,72","0,74 %","2,21 %","4,41 %","9,77 %","0,74 %","0,74 %","0,81 %","9,77 %","0,50 %","1,25 %","13,13 %","608.934.142,78",N/A,N/A,N/A,N/A,N/A,N/A,5,"12,65",62.066,N/A,N/A,N/A
TRNT11,LAJES CORPORATIVAS,"120,98","21.247,93","0,69","0,22","0,18 %","0,35 %","0,69 %","2,57 %","0,12 %","0,12 %","0,21 %","2,30 %","-5,91 %","-5,74 %","-22,61 %","778.079.988,02","197,70","0,61","0,11 %","0,41 %","0,52 %","-0,76 %",1,"54,99",689,N/A,N/A,N/A
TRXB11,FUNDO DE DESENVOLVIMENTO,"149,98","1.147,56","1,38","2,21","0,00 %","2,31 %","3,82 %","8,28 %","0,77 %","0,64 %","0,69 %","8,28 %","0,00 %","0,00 %",N/A,"310.754.359,53",N/A,N/A,N/A,N/A,N/A,N/A,12,"62,38",211,N/A,N/A,N/A
TRXF11,IMÓVEIS COMERCIAIS - OUTROS,"111,20","10.423.591,81","1,07","1,70","1,52 %","3,18 %","5,57 %","10,46 %","1,06 %","0,93 %","0,87 %","10,46 %","2,79 %","4,35 %","17,94 %","1.377.838.035,77","103,83","1,07","0,87 %","-1,54 %","-0,68 %","15,25 %",30,"8,51",117.516,N/A,N/A,N/A
TSER11,LAJES CORPORATIVAS,"100,00","850,00","0,97","0,94","0,00 %","1,82 %","2,72 %","5,49 %","0,61 %","0,45 %","0,46 %","5,49 %","0,00 %","0,00 %",N/A,"131.816.824,93",N/A,N/A,N/A,N/A,N/A,N/A,1,"98,31",31,N/A,N/A,N/A
TVRI11,AGÊNCIAS DE BANCOS,"96,76","1.031.591,29","0,98","0,91","0,93 %","2,87 %","5,63 %","11,72 %","0,96 %","0,94 %","0,98 %","11,72 %","3,70 %","4,66 %","28,59 %","1.576.857.849,29",N/A,N/A,N/A,N/A,N/A,N/A,63,"12,36",72.157,N/A,N/A,N/A
URPR11,PAPÉIS,"87,39","1.998.925,29","0,85","1,11","1,27 %","3,87 %","7,43 %","15,55 %","1,29 %","1,24 %","1,30 %","15,55 %","3,02 %","4,33 %","1,12 %","1.198.595.690,39","102,66","0,85","1,07 %","3,90 %","5,01 %","29,98 %",0,"14,82",91.137,N/A,N/A,N/A
VCJR11,PAPÉIS,"93,49","2.021.859,67","0,95","0,90","0,95 %","2,77 %","4,84 %","12,19 %","0,92 %","0,81 %","1,02 %","12,19 %","5,15 %","6,15 %","17,63 %","1.428.421.159,40","97,01","0,96","0,93 %","2,93 %","3,88 %","17,15 %",0,"12,60",25.284,N/A,N/A,N/A
VCRA11,INDEFINIDO,"95,94","933.577,57","0,93","1,10","1,15 %","3,53 %","7,20 %","14,72 %","1,18 %","1,20 %","1,23 %","14,72 %","7,33 %","8,57 %","4,24 %","473.005.968,72","102,96","0,93","1,07 %","0,56 %","1,64 %","3,13 %",0,"15,96",8.870,N/A,N/A,N/A
VCRI11,PAPÉIS,"8,52","267.839,62","0,88","0,09","1,01 %","2,91 %","5,93 %","13,83 %","0,97 %","0,99 %","1,15 %","13,83 %","4,35 %","5,40 %","6,15 %","171.233.245,46","9,63","0,88","0,83 %","1,90 %","2,75 %","4,58 %",0,"12,00",12.039,N/A,N/A,N/A
VCRR11,IMÓVEIS RESIDENCIAIS,"67,51","284.451,33","0,52","0,75","1,11 %","3,15 %","5,81 %","11,35 %","1,05 %","0,97 %","0,95 %","11,35 %","-1,82 %","-0,73 %","2,93 %","256.289.858,84","128,14","0,53","0,56 %","-0,08 %","0,48 %","15,12 %",0,"19,62",4.205,N/A,N/A,N/A
VGHF11,MISTO,"9,46","3.584.548,67","1,02","0,10","1,05 %","3,30 %","6,82 %","13,85 %","1,10 %","1,14 %","1,15 %","13,85 %","3,02 %","4,10 %","16,72 %","871.108.846,88","9,25","1,02","1,19 %","0,98 %","2,18 %","15,30 %",0,"11,14",328.058,N/A,N/A,N/A
